User_ID,Channel,Visitor,Lead,Qualified_Lead,Customer,Date
1,Facebook Ads,1,0,0,0,2025-01-30
2,Organic Search,1,0,0,0,2025-03-31
3,Email,1,1,1,1,2025-06-16
4,Instagram,1,0,0,0,2025-12-17
5,Google Ads,1,1,1,0,2025-03-10
6,Google Ads,1,0,0,0,2025-06-12
7,Google Ads,1,0,0,0,2025-08-30
8,Organic Search,1,1,1,0,2025-02-21
9,Instagram,1,0,0,0,2025-05-22
10,Email,1,0,0,0,2025-03-04
11,Google Ads,1,0,0,0,2025-10-19
12,Organic Search,1,0,0,0,2025-04-01
13,Email,1,0,0,0,2025-06-01
14,Google Ads,1,0,0,0,2025-06-06
15,Google Ads,1,0,0,0,2025-11-05
16,Google Ads,1,0,0,0,2025-12-31
17,Facebook Ads,1,0,0,0,2025-05-30
18,Instagram,1,0,0,0,2025-11-24
19,Facebook Ads,1,0,0,0,2025-09-28
20,Facebook Ads,1,1,1,1,2025-03-10
21,Instagram,1,0,0,0,2025-04-26
22,Google Ads,1,0,0,0,2025-07-11
23,Facebook Ads,1,1,0,0,2025-01-04
24,Facebook Ads,1,0,0,0,2025-03-16
25,Facebook Ads,1,1,1,0,2025-10-25
26,Email,1,0,0,0,2025-08-29
27,Google Ads,1,0,0,0,2025-01-30
28,Instagram,1,0,0,0,2025-05-23
29,Instagram,1,0,0,0,2025-11-22
30,Google Ads,1,0,0,0,2025-07-02
31,Instagram,1,0,0,0,2025-01-16
32,Google Ads,1,0,0,0,2025-04-21
33,Google Ads,1,0,0,0,2025-12-26
34,Organic Search,1,0,0,0,2025-07-20
35,Organic Search,1,0,0,0,2025-04-17
36,Email,1,0,0,0,2025-06-11
37,Facebook Ads,1,0,0,0,2025-10-10
38,Google Ads,1,1,1,0,2025-09-26
39,Instagram,1,0,0,0,2025-06-04
40,Facebook Ads,1,1,1,0,2025-03-14
41,Google Ads,1,0,0,0,2025-07-16
42,Facebook Ads,1,0,0,0,2025-08-31
43,Google Ads,1,0,0,0,2025-03-27
44,Organic Search,1,0,0,0,2025-10-14
45,Facebook Ads,1,0,0,0,2025-09-16
46,Instagram,1,0,0,0,2025-10-13
47,Facebook Ads,1,0,0,0,2025-05-29
48,Instagram,1,0,0,0,2025-12-21
49,Instagram,1,0,0,0,2025-07-09
50,Google Ads,1,0,0,0,2025-08-05
51,Organic Search,1,0,0,0,2025-12-21
52,Email,1,1,0,0,2025-03-27
53,Organic Search,1,0,0,0,2025-08-04
54,Organic Search,1,0,0,0,2025-11-16
55,Instagram,1,0,0,0,2025-04-28
56,Organic Search,1,0,0,0,2025-03-28
57,Google Ads,1,0,0,0,2025-02-09
58,Google Ads,1,0,0,0,2025-06-10
59,Google Ads,1,0,0,0,2025-07-10
60,Facebook Ads,1,0,0,0,2025-01-25
